left_entity_id,left_name,right_business_id,right_name,confidence,
17751,doe does diner 9395 bay pines blvd,3412,doe does diner 9395 bay pines blvd,1,
77423,dog school 1737 south st,52313,dog school 1737 south st,1,
64158,dog school 718 n 2nd st,52314,dog school 718 n 2nd st,1,
62115,rdr auto works 108 old trinity ln,88589,rdr auto works 108 old trinity ln,1,
28741,dogtowne dog grooming 1138 tamm ave,47738,dogtowne grooming 1138 tamm ave,1,
73842,olivias subs and pizza 2318 seven springs blvd,24198,olivias subs and pizza 2318 seven springs blvd,1,
87957,dis color crazy 837 s 2nd st,75766,dis color crazy 837 s 2nd st,1,
79169,dipinto guitars 407 e girard ave,76578,dipinto guitars 407 e girard ave,1,
89768,dinner done 10330 n dale mabry hwy ste 120,5221,dinner done 10330 n dale mabry hwy ste 120,1,
45404,diamond nail salon 4831 n broad st,78516,diamond nail salon 4831 n broad st,1,
38827,destiny and light 5911 sheldon rd,15105,destiny  light 5911 sheldon rd,1,
8363,deviate brewing 4004 w 96th st,30974,deviate brewing 4004 w 96th st,1,
44263,mound city shelled nut 7831 olive blvd,48640,mound city shelled nut 7831 olive blvd,1,
39385,mother goose 11 oakland ave,54091,mother goose 11 oakland ave,1,
47025,di coffee bar 214 e davis blvd,6292,di coffee bar 214 e davis blvd,1,
81945,mother bethel african methodist episcopal church 419 s 6th st,60210,mother bethel african methodist episcopal church 419 s 6th st,1,
33033,diagno pest control 21 s 11th st ste 508,75249,diagno pest control 21 s 11th st ste 508,1,
42090,diamond house jewelry 814 fayette st,77018,diamond house jewelry 814 fayette st,1,
13558,diamond sound studios 241 venture cir,87543,diamond sound studios 241 venture cir,1,
22774,suncoast arcade 12722 62nd st n ste 204,1639,suncoast arcade 12722 62nd st ste 204,1,
41509,uncle bills country market 55 highland park pl,77769,uncle bills country market 55 highland park pl,1,
74835,diantonios catering 228 krams ave,52064,diantonios catering 228 krams ave,1,
63253,digital ninjaz 409 s belcher rd,19194,digital ninjaz 409 s belcher rd,1,
71547,suncoast animal league 1030 pennsylvania ave,9017,suncoast animal league 1030 pennsylvania ave,1,
32711,rebecca downie dds 3607 w azeele st,4334,rebecca downie dds pa 3607 w azeele st,1,
20633,uncanny 160 n gulph rd ste 2015,75616,uncanny 160 n gulph rd ste 2015,1,
59008,rebar at the dam 3248 blackwood dr,82478,rebar at the dam 3248 blackwood dr,1,
20545,rebar 1919 division st,82222,rebar 1919 division st,1,
15391,stellas pizza 3209 willits rd,68397,stellas g pizza 3209 willits rd,1,
22351,rasoi indian cuisine 1701 e 8th ave,17370,rasoi indian cuisine 1701 e 8th ave,1,
52081,dolly monroe beauty studios  academy 10359 cross creek blvd ste e,22668,dolly monroe beauty studios  academy 10359 cross creek blvd ste e,1,
